ID_cliente,Probabilidad_Churn,Churn
0002-ORFBO,0.10394145847537356,0
0003-MKNFE,0.40094560090373993,0
0004-TLHLJ,0.6721107889795348,1
0011-IGKFF,0.7152189871468738,1
0013-EXCHZ,0.6371849692790843,1
0013-MHZWF,0.23964771068408597,0
0013-SMEOE,0.05620304807677342,0
0014-BMAQU,0.0319940479322223,0
0015-UOCOJ,0.49911251174803106,0
0016-QLJIS,0.012668473308543508,0
0017-DINOC,0.015332475193141876,0
0017-IUDMW,0.05119220449439921,0
0018-NYROU,0.6825998042722068,1
0019-EFAEP,0.06288723350271698,0
0019-GFNTW,0.009683386830490743,0
0020-INWCK,0.051472855286842305,0
0020-JDNXP,0.07139155066215727,0
0021-IKXGC,0.7980625908346918,1
0022-TCJCI,0.04627538356942966,0
0023-HGHWL,0.703554744481066,1
0023-UYUPN,0.023407775845560405,0
0023-XUOPT,0.6280770388305172,1
0027-KWYKW,0.6281865529003091,1
0030-FNXPP,0.19300846266671154,0
0031-PVLZI,0.1533528865240407,0
0032-PGELS,0.3712621428029323,0
0036-IHMOT,0.11519409330568177,0
0040-HALCW,0.003310893225597395,0
0042-JVWOJ,0.047166327038379884,0
0042-RLHYP,0.0017736049062465314,0
0048-LUMLS,0.15931712205753515,0
0048-PIHNL,0.010221262525773595,0
0052-DCKON,0.08364804405198441,0
0052-YNYOT,0.005946459762662943,0
0056-EPFBG,0.05666319909312343,0
0057-QBUQH,0.02043427186703318,0
0058-EVZWM,0.28311549752105386,0
0060-FUALY,0.31136790926902747,0
0064-SUDOG,0.03359484046371665,0
0064-YIJGF,0.3853263725775199,0
0067-DKWBL,0.5312237930337701,1
0068-FIGTF,0.055776203774405286,0
0071-NDAFP,0.01994235777032653,0
0074-HDKDG,0.07973686101696523,0
0076-LVEPS,0.11125945017403817,0
0078-XZMHT,0.01473848387708752,0
0080-EMYVY,0.12985720941583181,0
0080-OROZO,0.3252099727103267,0
0082-LDZUE,0.4840105213941861,0
0082-OQIQY,0.5011759794644379,1
0083-PIVIK,0.019521666050778697,0
0089-IIQKO,0.36346699906110047,0
0093-EXYQL,0.5759431739284147,1
0093-XWZFY,0.45376230081394886,0
0094-OIFMO,0.7519208682549511,1
0096-BXERS,0.501850657915836,1
0096-FCPUF,0.24300007788371414,0
0098-BOWSO,0.1217377374398185,0
0100-DUVFC,0.2423789246238686,0
0103-CSITQ,0.1784617166122045,0
0104-PPXDV,0.02210851448001999,0
0106-GHRQR,0.4053563663714838,0
0106-UGRDO,0.10122941658766597,0
0107-WESLM,0.35117594177054867,0
0107-YHINA,0.7957038324586251,1
0111-KLBQG,0.4261921806090939,0
0112-QAWRZ,0.5841707741177601,1
0112-QWPNC,0.04079786454708069,0
0114-IGABW,0.014004208462965202,0
0114-PEGZZ,0.546399514925594,1
0114-RSRRW,0.2009152417816474,0
0115-TFERT,0.6048512786797116,1
0117-LFRMW,0.07667840708880568,0
0118-JPNOY,0.4551028403636514,0
0121-SNYRK,0.030092152451390828,0
0122-OAHPZ,0.7253939893567373,1
0123-CRBRT,0.009535311866533579,0
0125-LZQXK,0.6190988189873868,1
0128-MKWSG,0.1266111829343122,0
0129-KPTWJ,0.27770021158150376,0
0129-QMPDR,0.015249077681120042,0
0130-SXOUN,0.1338618775462163,0
0133-BMFZO,0.5004582238902531,1
0134-XWXCE,0.041778326956404085,0
0135-NMXAP,0.6509056437836297,1
0136-IFMYD,0.12610494387608143,0
0137-OCGAB,0.6540230156843455,1
0137-UDEUO,0.19329652106845854,0
0139-IVFJG,0.577117390971994,1
0141-YEAYS,0.48564830664127345,0
0142-GVYSN,0.1267878323196792,0
0147-ESWWR,0.569827791572718,1
0148-DCDOS,0.6156859233023008,1
0151-ONTOV,0.5315413053224536,1
0156-FVPTA,0.21007159887710414,0
0164-APGRB,0.095783959518374,0
0164-XAIRP,0.03406424206222966,0
0168-XZKBB,0.702524211410617,1
0174-QRVVY,0.0019841136222581214,0
0177-PXBAT,0.44845260634318673,0
0178-CIIKR,0.1929328268165899,0
0178-SZBHO,0.2858407722849301,0
0181-RITDD,0.029780327466368633,0
0186-CAERR,0.10405547880655582,0
0187-QSXOE,0.7814044257902107,1
0187-WZNAB,0.20255010940615237,0
0188-GWFLE,0.18779221096720064,0
0191-EQUUH,0.03464770264004039,0
0191-ZHSKZ,0.2134693050165653,0
0193-ESZXP,0.1127313410331823,0
0195-IESCP,0.7170095230595893,1
0196-JTUQI,0.6111560380059308,1
